2025-04-16 23:12:19,166 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='all', score_modes=['deviation'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_all', visual_dir='./visual/omi/neighbor_all', num_workers=36, gif_duration=500)
2025-04-16 23:12:19,166 - INFO - 当前评分模式: ['deviation']
2025-04-16 23:12:19,166 - INFO - 
==================================================
2025-04-16 23:12:19,167 - INFO - 开始执行网格搜索...
2025-04-16 23:12:42,021 - INFO - [omi-9.txt] mode=deviation, all=None, threshold=1.5, P=0.4962, R=0.9155, F1=0.6436
2025-04-16 23:12:42,022 - INFO - [omi-9.txt] mode=deviation, all=None, threshold=2.0, P=0.4962, R=0.9155, F1=0.6436
2025-04-16 23:12:42,022 - INFO - [omi-9.txt] mode=deviation, all=None, threshold=2.5, P=0.4962, R=0.9155, F1=0.6436
2025-04-16 23:12:42,079 - INFO - [omi-9.txt] mode=deviation, all=None, threshold=3.0, P=0.4962, R=0.9155, F1=0.6436
2025-04-16 23:12:42,079 - INFO - [omi-9.txt] mode=deviation, all=None, threshold=3.5, P=0.4962, R=0.9155, F1=0.6436
2025-04-16 23:12:42,079 - INFO - [omi-9.txt] mode=deviation, all=None, threshold=4.0, P=0.4962, R=0.9155, F1=0.6436
2025-04-16 23:12:42,080 - INFO - [omi-9.txt] mode=deviation, all=None, threshold=4.5, P=0.4962, R=0.9155, F1=0.6436
2025-04-16 23:12:42,080 - INFO - [omi-9.txt] mode=deviation, all=None, threshold=5.0, P=0.4962, R=0.9155, F1=0.6436
2025-04-16 23:12:42,192 - INFO - [omi-9.txt] mode=deviation, all=None, threshold=5.5, P=0.4962, R=0.9155, F1=0.6436
2025-04-16 23:12:42,192 - INFO - [omi-9.txt] mode=deviation, all=None, threshold=6.0, P=0.4962, R=0.9155, F1=0.6436
2025-04-16 23:12:42,193 - INFO - [omi-9.txt] mode=deviation, all=None, threshold=6.5, P=0.4962, R=0.9155, F1=0.6436
2025-04-16 23:12:42,193 - INFO - [omi-9.txt] mode=deviation, all=None, threshold=7.0, P=0.4962, R=0.9155, F1=0.6436
2025-04-16 23:12:42,237 - INFO - [omi-8] Starting grid search...
2025-04-16 23:12:45,900 - INFO - [omi-8.txt] mode=deviation, all=None, threshold=0.0, P=0.3537, R=0.9355, F1=0.5133
2025-04-16 23:12:45,902 - INFO - [omi-8.txt] mode=deviation, all=None, threshold=0.5, P=0.3537, R=0.9355, F1=0.5133
2025-04-16 23:12:45,944 - INFO - [omi-8.txt] mode=deviation, all=None, threshold=1.0, P=0.3537, R=0.9355, F1=0.5133
2025-04-16 23:12:45,944 - INFO - [omi-8.txt] mode=deviation, all=None, threshold=1.5, P=0.3537, R=0.9355, F1=0.5133
2025-04-16 23:12:45,944 - INFO - [omi-8.txt] mode=deviation, all=None, threshold=2.0, P=0.3537, R=0.9355, F1=0.5133
2025-04-16 23:12:45,955 - INFO - [omi-8.txt] mode=deviation, all=None, threshold=2.5, P=0.3537, R=0.9355, F1=0.5133
2025-04-16 23:12:45,955 - INFO - [omi-8.txt] mode=deviation, all=None, threshold=3.0, P=0.3537, R=0.9355, F1=0.5133
2025-04-16 23:12:45,955 - INFO - [omi-8.txt] mode=deviation, all=None, threshold=3.5, P=0.3537, R=0.9355, F1=0.5133
2025-04-16 23:12:45,960 - INFO - [omi-8.txt] mode=deviation, all=None, threshold=4.0, P=0.3537, R=0.9355, F1=0.5133
2025-04-16 23:12:45,967 - INFO - [omi-8.txt] mode=deviation, all=None, threshold=4.5, P=0.3537, R=0.9355, F1=0.5133
2025-04-16 23:12:45,974 - INFO - [omi-8.txt] mode=deviation, all=None, threshold=5.0, P=0.3537, R=0.9355, F1=0.5133
2025-04-16 23:12:46,425 - INFO - [omi-8.txt] mode=deviation, all=None, threshold=5.5, P=0.3537, R=0.9355, F1=0.5133
2025-04-16 23:12:46,426 - INFO - [omi-8.txt] mode=deviation, all=None, threshold=6.0, P=0.3537, R=0.9355, F1=0.5133
2025-04-16 23:12:46,426 - INFO - [omi-8.txt] mode=deviation, all=None, threshold=6.5, P=0.3537, R=0.9355, F1=0.5133
2025-04-16 23:12:46,426 - INFO - [omi-8.txt] mode=deviation, all=None, threshold=7.0, P=0.3537, R=0.9355, F1=0.5133
2025-04-16 23:12:46,472 - INFO - [omi-2] Starting grid search...
2025-04-16 23:12:50,118 - INFO - [omi-2.txt] mode=deviation, all=None, threshold=0.0, P=0.4559, R=1.0000, F1=0.6263
2025-04-16 23:12:50,130 - INFO - [omi-2.txt] mode=deviation, all=None, threshold=0.5, P=0.4559, R=1.0000, F1=0.6263
2025-04-16 23:12:50,149 - INFO - [omi-2.txt] mode=deviation, all=None, threshold=1.0, P=0.4559, R=1.0000, F1=0.6263
2025-04-16 23:12:50,204 - INFO - [omi-2.txt] mode=deviation, all=None, threshold=1.5, P=0.4559, R=1.0000, F1=0.6263
2025-04-16 23:12:50,204 - INFO - [omi-2.txt] mode=deviation, all=None, threshold=2.0, P=0.4559, R=1.0000, F1=0.6263
2025-04-16 23:12:50,204 - INFO - [omi-2.txt] mode=deviation, all=None, threshold=2.5, P=0.4559, R=1.0000, F1=0.6263
2025-04-16 23:12:50,217 - INFO - [omi-2.txt] mode=deviation, all=None, threshold=3.0, P=0.4559, R=1.0000, F1=0.6263
2025-04-16 23:12:50,217 - INFO - [omi-2.txt] mode=deviation, all=None, threshold=3.5, P=0.4559, R=1.0000, F1=0.6263
2025-04-16 23:12:50,217 - INFO - [omi-2.txt] mode=deviation, all=None, threshold=4.0, P=0.4559, R=1.0000, F1=0.6263
2025-04-16 23:12:50,217 - INFO - [omi-2.txt] mode=deviation, all=None, threshold=4.5, P=0.4559, R=1.0000, F1=0.6263
2025-04-16 23:12:50,217 - INFO - [omi-2.txt] mode=deviation, all=None, threshold=5.0, P=0.4559, R=1.0000, F1=0.6263
2025-04-16 23:12:50,217 - INFO - [omi-2.txt] mode=deviation, all=None, threshold=5.5, P=0.4559, R=1.0000, F1=0.6263
2025-04-16 23:12:50,217 - INFO - [omi-2.txt] mode=deviation, all=None, threshold=6.0, P=0.4559, R=1.0000, F1=0.6263
2025-04-16 23:12:50,219 - INFO - [omi-2.txt] mode=deviation, all=None, threshold=6.5, P=0.4559, R=1.0000, F1=0.6263
2025-04-16 23:12:50,229 - INFO - [omi-2.txt] mode=deviation, all=None, threshold=7.0, P=0.4559, R=1.0000, F1=0.6263
2025-04-16 23:12:50,276 - INFO - [omi-11] Starting grid search...
2025-04-16 23:12:54,266 - INFO - [omi-11.txt] mode=deviation, all=None, threshold=0.0, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 23:12:54,268 - INFO - [omi-11.txt] mode=deviation, all=None, threshold=0.5, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 23:12:54,273 - INFO - [omi-11.txt] mode=deviation, all=None, threshold=1.0, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 23:12:54,287 - INFO - [omi-11.txt] mode=deviation, all=None, threshold=1.5, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 23:12:54,287 - INFO - [omi-11.txt] mode=deviation, all=None, threshold=2.0, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 23:12:54,454 - INFO - [omi-11.txt] mode=deviation, all=None, threshold=2.5, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 23:12:54,454 - INFO - [omi-11.txt] mode=deviation, all=None, threshold=3.0, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 23:12:54,455 - INFO - [omi-11.txt] mode=deviation, all=None, threshold=3.5, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 23:12:54,455 - INFO - [omi-11.txt] mode=deviation, all=None, threshold=4.0, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 23:12:54,455 - INFO - [omi-11.txt] mode=deviation, all=None, threshold=4.5, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 23:12:54,455 - INFO - [omi-11.txt] mode=deviation, all=None, threshold=5.0, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 23:12:54,455 - INFO - [omi-11.txt] mode=deviation, all=None, threshold=5.5, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 23:12:54,455 - INFO - [omi-11.txt] mode=deviation, all=None, threshold=6.0, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 23:12:54,873 - INFO - [omi-11.txt] mode=deviation, all=None, threshold=6.5, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 23:12:54,874 - INFO - [omi-11.txt] mode=deviation, all=None, threshold=7.0, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 23:12:54,923 - INFO - [omi-10] Starting grid search...
2025-04-16 23:12:58,948 - INFO - [omi-10.txt] mode=deviation, all=None, threshold=0.0, P=0.4444, R=0.9836, F1=0.6122
2025-04-16 23:12:58,953 - INFO - [omi-10.txt] mode=deviation, all=None, threshold=0.5, P=0.4444, R=0.9836, F1=0.6122
2025-04-16 23:12:59,181 - INFO - [omi-10.txt] mode=deviation, all=None, threshold=1.0, P=0.4444, R=0.9836, F1=0.6122
2025-04-16 23:12:59,182 - INFO - [omi-10.txt] mode=deviation, all=None, threshold=1.5, P=0.4444, R=0.9836, F1=0.6122
2025-04-16 23:12:59,182 - INFO - [omi-10.txt] mode=deviation, all=None, threshold=2.0, P=0.4444, R=0.9836, F1=0.6122
2025-04-16 23:12:59,182 - INFO - [omi-10.txt] mode=deviation, all=None, threshold=2.5, P=0.4444, R=0.9836, F1=0.6122
2025-04-16 23:12:59,182 - INFO - [omi-10.txt] mode=deviation, all=None, threshold=3.0, P=0.4444, R=0.9836, F1=0.6122
2025-04-16 23:12:59,183 - INFO - [omi-10.txt] mode=deviation, all=None, threshold=3.5, P=0.4444, R=0.9836, F1=0.6122
2025-04-16 23:12:59,183 - INFO - [omi-10.txt] mode=deviation, all=None, threshold=4.0, P=0.4444, R=0.9836, F1=0.6122
2025-04-16 23:12:59,183 - INFO - [omi-10.txt] mode=deviation, all=None, threshold=4.5, P=0.4444, R=0.9836, F1=0.6122
2025-04-16 23:12:59,521 - INFO - [omi-10.txt] mode=deviation, all=None, threshold=5.0, P=0.4444, R=0.9836, F1=0.6122
2025-04-16 23:12:59,522 - INFO - [omi-10.txt] mode=deviation, all=None, threshold=5.5, P=0.4444, R=0.9836, F1=0.6122
2025-04-16 23:12:59,522 - INFO - [omi-10.txt] mode=deviation, all=None, threshold=6.0, P=0.4444, R=0.9836, F1=0.6122
2025-04-16 23:12:59,522 - INFO - [omi-10.txt] mode=deviation, all=None, threshold=6.5, P=0.4444, R=0.9836, F1=0.6122
2025-04-16 23:12:59,522 - INFO - [omi-10.txt] mode=deviation, all=None, threshold=7.0, P=0.4444, R=0.9836, F1=0.6122
2025-04-16 23:12:59,568 - INFO - [omi-4] Starting grid search...
2025-04-16 23:13:03,371 - INFO - [omi-4.txt] mode=deviation, all=None, threshold=0.0, P=0.7952, R=0.9851, F1=0.8800
2025-04-16 23:13:03,380 - INFO - [omi-4.txt] mode=deviation, all=None, threshold=0.5, P=0.7952, R=0.9851, F1=0.8800
2025-04-16 23:13:03,387 - INFO - [omi-4.txt] mode=deviation, all=None, threshold=1.0, P=0.7952, R=0.9851, F1=0.8800
2025-04-16 23:13:03,407 - INFO - [omi-4.txt] mode=deviation, all=None, threshold=1.5, P=0.7952, R=0.9851, F1=0.8800
2025-04-16 23:13:03,476 - INFO - [omi-4.txt] mode=deviation, all=None, threshold=2.0, P=0.7952, R=0.9851, F1=0.8800
2025-04-16 23:13:03,476 - INFO - [omi-4.txt] mode=deviation, all=None, threshold=2.5, P=0.7952, R=0.9851, F1=0.8800
2025-04-16 23:13:03,476 - INFO - [omi-4.txt] mode=deviation, all=None, threshold=3.0, P=0.7952, R=0.9851, F1=0.8800
2025-04-16 23:13:03,476 - INFO - [omi-4.txt] mode=deviation, all=None, threshold=3.5, P=0.7952, R=0.9851, F1=0.8800
2025-04-16 23:13:03,477 - INFO - [omi-4.txt] mode=deviation, all=None, threshold=4.0, P=0.7952, R=0.9851, F1=0.8800
2025-04-16 23:13:03,477 - INFO - [omi-4.txt] mode=deviation, all=None, threshold=4.5, P=0.7952, R=0.9851, F1=0.8800
2025-04-16 23:13:03,477 - INFO - [omi-4.txt] mode=deviation, all=None, threshold=5.0, P=0.7952, R=0.9851, F1=0.8800
2025-04-16 23:13:03,477 - INFO - [omi-4.txt] mode=deviation, all=None, threshold=5.5, P=0.7952, R=0.9851, F1=0.8800
2025-04-16 23:13:03,477 - INFO - [omi-4.txt] mode=deviation, all=None, threshold=6.0, P=0.7952, R=0.9851, F1=0.8800
2025-04-16 23:13:03,477 - INFO - [omi-4.txt] mode=deviation, all=None, threshold=6.5, P=0.7952, R=0.9851, F1=0.8800
2025-04-16 23:13:03,477 - INFO - [omi-4.txt] mode=deviation, all=None, threshold=7.0, P=0.7952, R=0.9851, F1=0.8800
2025-04-16 23:13:03,526 - INFO - [omi-3] Starting grid search...
2025-04-16 23:13:07,351 - INFO - [omi-3.txt] mode=deviation, all=None, threshold=0.0, P=0.7738, R=0.8333, F1=0.8025
2025-04-16 23:13:07,352 - INFO - [omi-3.txt] mode=deviation, all=None, threshold=0.5, P=0.7738, R=0.8333, F1=0.8025
2025-04-16 23:13:07,352 - INFO - [omi-3.txt] mode=deviation, all=None, threshold=1.0, P=0.7738, R=0.8333, F1=0.8025
2025-04-16 23:13:07,378 - INFO - [omi-3.txt] mode=deviation, all=None, threshold=1.5, P=0.7738, R=0.8333, F1=0.8025
2025-04-16 23:13:07,378 - INFO - [omi-3.txt] mode=deviation, all=None, threshold=2.0, P=0.7738, R=0.8333, F1=0.8025
