2025-04-17 17:52:10,991 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='els', window_size=5, score_thresholds=array([0. , 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1. , 1.1, 1.2,
       1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2. , 2.1, 2.2, 2.3, 2.4, 2.5,
       2.6, 2.7, 2.8, 2.9, 3. , 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8,
       3.9, 4. , 4.1, 4.2, 4.3, 4.4, 4.5, 4.6, 4.7, 4.8, 4.9, 5. , 5.1,
       5.2, 5.3, 5.4, 5.5, 5.6, 5.7, 5.8, 5.9, 6. , 6.1, 6.2, 6.3, 6.4,
       6.5, 6.6, 6.7, 6.8, 6.9, 7. ]), topk_range=range(0, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='corr_threshold', score_modes=['robust_zscore'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/els/neighbor_corr_threshold', visual_dir='./visual/els/neighbor_corr_threshold', num_workers=36, gif_duration=500)
2025-04-17 17:52:10,991 - INFO - 当前评分模式: ['robust_zscore']
2025-04-17 17:52:10,991 - INFO - 
==================================================
2025-04-17 17:52:10,991 - INFO - 开始执行网格搜索...
2025-04-17 17:52:10,994 - INFO - [els-1] Starting grid search...
2025-04-17 17:52:12,953 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=5.6, P=0.2786, R=0.4202, F1=0.3350
2025-04-17 17:52:12,969 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=5.7, P=0.2786, R=0.4202, F1=0.3350
2025-04-17 17:52:12,969 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=5.8, P=0.2786, R=0.4202, F1=0.3350
2025-04-17 17:52:12,983 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=5.9, P=0.2786, R=0.4202, F1=0.3350
2025-04-17 17:52:12,987 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=6.0, P=0.2801, R=0.4202, F1=0.3361
2025-04-17 17:52:12,998 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=6.1, P=0.2801, R=0.4202, F1=0.3361
2025-04-17 17:52:12,998 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=6.2, P=0.2801, R=0.4202, F1=0.3361
2025-04-17 17:52:12,998 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=6.3, P=0.2801, R=0.4202, F1=0.3361
2025-04-17 17:52:12,998 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=6.4, P=0.2801, R=0.4202, F1=0.3361
2025-04-17 17:52:12,998 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=6.5, P=0.2801, R=0.4202, F1=0.3361
2025-04-17 17:52:12,998 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=6.6, P=0.2801, R=0.4202, F1=0.3361
2025-04-17 17:52:12,998 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=6.7, P=0.2801, R=0.4202, F1=0.3361
2025-04-17 17:52:12,999 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=6.8, P=0.2809, R=0.4202, F1=0.3367
2025-04-17 17:52:12,999 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=6.9, P=0.2817, R=0.4202, F1=0.3373
2025-04-17 17:52:13,191 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=7.0, P=0.2817, R=0.4202, F1=0.3373
2025-04-17 17:52:13,192 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=0.0, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:52:13,206 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=0.1, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:52:13,208 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=0.2, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:52:13,208 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=0.3, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:52:13,208 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=0.4, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:52:13,215 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=0.5, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:52:13,217 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=0.6, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:52:13,219 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=0.7, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:52:13,228 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=0.8, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:52:13,229 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=0.9, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:52:13,229 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=1.0, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:52:13,229 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=1.1, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:52:13,229 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=1.2, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:52:13,229 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=1.3, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:52:13,229 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=1.4, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:52:13,499 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=1.5, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:52:13,499 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=1.6, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:52:13,499 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=1.7, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:52:13,499 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=1.8, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:52:13,500 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=1.9, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:52:13,501 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=2.0, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:52:13,501 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=2.1, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:52:13,501 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=2.2, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:52:13,501 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=2.3, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:52:13,501 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=2.4, P=0.2701, R=0.4370, F1=0.3339
2025-04-17 17:52:13,501 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=2.5, P=0.2708, R=0.4370, F1=0.3344
2025-04-17 17:52:13,501 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=2.6, P=0.2708, R=0.4370, F1=0.3344
2025-04-17 17:52:13,501 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=2.7, P=0.2708, R=0.4370, F1=0.3344
2025-04-17 17:52:13,501 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=2.8, P=0.2708, R=0.4370, F1=0.3344
2025-04-17 17:52:13,501 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=2.9, P=0.2708, R=0.4370, F1=0.3344
2025-04-17 17:52:13,502 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=3.0, P=0.2708, R=0.4370, F1=0.3344
2025-04-17 17:52:13,502 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=3.1, P=0.2708, R=0.4370, F1=0.3344
2025-04-17 17:52:13,502 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=3.2, P=0.2723, R=0.4370, F1=0.3355
2025-04-17 17:52:13,765 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=3.3, P=0.2723, R=0.4370, F1=0.3355
2025-04-17 17:52:13,879 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=3.4, P=0.2737, R=0.4370, F1=0.3366
2025-04-17 17:52:13,890 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=3.5, P=0.2737, R=0.4370, F1=0.3366
2025-04-17 17:52:13,890 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=3.6, P=0.2737, R=0.4370, F1=0.3366
2025-04-17 17:52:13,890 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=3.7, P=0.2744, R=0.4370, F1=0.3371
2025-04-17 17:52:13,890 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=3.8, P=0.2725, R=0.4328, F1=0.3344
2025-04-17 17:52:13,890 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=3.9, P=0.2747, R=0.4328, F1=0.3361
2025-04-17 17:52:13,918 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=4.0, P=0.2754, R=0.4328, F1=0.3366
2025-04-17 17:52:13,925 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=4.1, P=0.2761, R=0.4328, F1=0.3372
2025-04-17 17:52:13,926 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=4.2, P=0.2784, R=0.4328, F1=0.3388
2025-04-17 17:52:13,926 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=4.3, P=0.2799, R=0.4328, F1=0.3399
2025-04-17 17:52:14,041 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=4.4, P=0.2814, R=0.4328, F1=0.3411
2025-04-17 17:52:14,041 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=4.5, P=0.2814, R=0.4328, F1=0.3411
2025-04-17 17:52:14,041 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=4.6, P=0.2814, R=0.4328, F1=0.3411
2025-04-17 17:52:14,042 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=4.7, P=0.2814, R=0.4328, F1=0.3411
2025-04-17 17:52:14,042 - INFO - [els-1.txt] mode=robust_zscore, corr_threshold=0.0, threshold=4.8, P=0.2814, R=0.4328, F1=0.3411
