2025-05-07 11:52:02,173 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='corr_threshold', score_modes=['robust_zscore'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_corr_threshold', visual_dir='./visual/omi/neighbor_corr_threshold', num_workers=36, gif_duration=500)
2025-05-07 11:52:02,174 - INFO - 当前评分模式: ['robust_zscore']
2025-05-07 11:52:02,174 - INFO - 
==================================================
2025-05-07 11:52:02,174 - INFO - 开始执行网格搜索...
2025-05-07 11:52:02,175 - INFO - [omi-12] Starting grid search...
2025-05-07 11:52:07,558 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.1, threshold=2.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:07,558 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.1, threshold=2.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:07,558 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.1, threshold=3.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:07,809 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.1, threshold=3.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:08,218 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.1, threshold=4.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:08,395 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.1, threshold=4.5, P=0.6066, R=0.9250, F1=0.7327
2025-05-07 11:52:08,395 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.1, threshold=5.0, P=0.6066, R=0.9250, F1=0.7327
2025-05-07 11:52:08,395 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.1, threshold=5.5, P=0.6066, R=0.9250, F1=0.7327
2025-05-07 11:52:08,396 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.1, threshold=6.0, P=0.6066, R=0.9250, F1=0.7327
2025-05-07 11:52:08,396 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.1, threshold=6.5, P=0.6066, R=0.9250, F1=0.7327
2025-05-07 11:52:08,397 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.1, threshold=7.0, P=0.6066, R=0.9250, F1=0.7327
2025-05-07 11:52:08,646 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:08,647 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:08,647 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=1.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:08,648 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=1.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:08,648 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=2.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:08,648 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=2.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:08,648 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=3.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:08,648 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=3.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:08,648 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=4.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:09,058 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=4.5, P=0.6066, R=0.9250, F1=0.7327
2025-05-07 11:52:09,060 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=5.0, P=0.6066, R=0.9250, F1=0.7327
2025-05-07 11:52:09,829 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=5.5, P=0.6066, R=0.9250, F1=0.7327
2025-05-07 11:52:09,829 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=6.0, P=0.6066, R=0.9250, F1=0.7327
2025-05-07 11:52:10,486 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=6.5, P=0.6066, R=0.9250, F1=0.7327
2025-05-07 11:52:10,990 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=7.0, P=0.6066, R=0.9250, F1=0.7327
2025-05-07 11:52:11,632 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:11,632 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:12,407 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=1.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:12,408 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=1.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:12,415 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=2.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:12,473 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=2.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:12,474 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=3.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:12,569 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=3.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:12,570 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=4.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:12,571 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=4.5, P=0.6066, R=0.9250, F1=0.7327
2025-05-07 11:52:12,571 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=5.0, P=0.6066, R=0.9250, F1=0.7327
2025-05-07 11:52:12,608 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=5.5, P=0.6066, R=0.9250, F1=0.7327
2025-05-07 11:52:12,608 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=6.0, P=0.6066, R=0.9250, F1=0.7327
2025-05-07 11:52:12,609 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=6.5, P=0.6066, R=0.9250, F1=0.7327
2025-05-07 11:52:12,609 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=7.0, P=0.6066, R=0.9250, F1=0.7327
2025-05-07 11:52:12,609 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:12,609 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:12,610 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=1.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:12,610 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=1.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:12,610 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=2.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:12,610 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=2.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:12,610 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=3.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:12,610 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=3.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:12,610 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=4.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:12,610 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=4.5, P=0.6066, R=0.9250, F1=0.7327
2025-05-07 11:52:12,610 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=5.0, P=0.6066, R=0.9250, F1=0.7327
2025-05-07 11:52:12,610 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=5.5, P=0.6066, R=0.9250, F1=0.7327
2025-05-07 11:52:12,610 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=6.0, P=0.6066, R=0.9250, F1=0.7327
2025-05-07 11:52:12,610 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=6.5, P=0.6066, R=0.9250, F1=0.7327
2025-05-07 11:52:12,610 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.2, threshold=7.0, P=0.6066, R=0.9250, F1=0.7327
2025-05-07 11:52:12,611 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.3, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:12,611 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.3, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:12,611 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.3, threshold=1.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:12,611 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.3, threshold=1.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:12,611 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.3, threshold=2.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:12,783 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.3, threshold=2.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:12,784 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.3, threshold=3.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:13,817 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.3, threshold=3.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:13,817 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.3, threshold=4.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:52:13,817 - INFO - [omi-12.txt] mode=robust_zscore, corr_threshold=0.3, threshold=4.5, P=0.6066, R=0.9250, F1=0.7327
