2025-05-07 12:01:24,921 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='all', score_modes=['mean_ratio'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_all', visual_dir='./visual/omi/neighbor_all', num_workers=36, gif_duration=500)
2025-05-07 12:01:24,922 - INFO - 当前评分模式: ['mean_ratio']
2025-05-07 12:01:24,922 - INFO - 
==================================================
2025-05-07 12:01:24,922 - INFO - 开始执行网格搜索...
2025-05-07 12:01:35,107 - INFO - [omi-5.txt] mode=mean_ratio, all=None, threshold=3.0, P=0.4706, R=0.9796, F1=0.6358
2025-05-07 12:01:35,107 - INFO - [omi-5.txt] mode=mean_ratio, all=None, threshold=3.5, P=0.4653, R=0.9592, F1=0.6267
2025-05-07 12:01:35,107 - INFO - [omi-5.txt] mode=mean_ratio, all=None, threshold=4.0, P=0.4653, R=0.9592, F1=0.6267
2025-05-07 12:01:35,213 - INFO - [omi-5.txt] mode=mean_ratio, all=None, threshold=4.5, P=0.4700, R=0.9592, F1=0.6309
2025-05-07 12:01:35,214 - INFO - [omi-5.txt] mode=mean_ratio, all=None, threshold=5.0, P=0.4646, R=0.9388, F1=0.6216
2025-05-07 12:01:35,423 - INFO - [omi-5.txt] mode=mean_ratio, all=None, threshold=5.5, P=0.4639, R=0.9184, F1=0.6164
2025-05-07 12:01:35,423 - INFO - [omi-5.txt] mode=mean_ratio, all=None, threshold=6.0, P=0.4583, R=0.8980, F1=0.6069
2025-05-07 12:01:35,424 - INFO - [omi-5.txt] mode=mean_ratio, all=None, threshold=6.5, P=0.4583, R=0.8980, F1=0.6069
2025-05-07 12:01:35,424 - INFO - [omi-5.txt] mode=mean_ratio, all=None, threshold=7.0, P=0.4583, R=0.8980, F1=0.6069
2025-05-07 12:01:35,477 - INFO - [omi-6] Starting grid search...
2025-05-07 12:01:39,023 - INFO - [omi-6.txt] mode=mean_ratio, all=None, threshold=0.0, P=0.2606, R=0.9773, F1=0.4115
2025-05-07 12:01:39,025 - INFO - [omi-6.txt] mode=mean_ratio, all=None, threshold=0.5, P=0.2606, R=0.9773, F1=0.4115
2025-05-07 12:01:39,025 - INFO - [omi-6.txt] mode=mean_ratio, all=None, threshold=1.0, P=0.2606, R=0.9773, F1=0.4115
2025-05-07 12:01:39,025 - INFO - [omi-6.txt] mode=mean_ratio, all=None, threshold=1.5, P=0.2606, R=0.9773, F1=0.4115
2025-05-07 12:01:39,025 - INFO - [omi-6.txt] mode=mean_ratio, all=None, threshold=2.0, P=0.2606, R=0.9773, F1=0.4115
2025-05-07 12:01:39,025 - INFO - [omi-6.txt] mode=mean_ratio, all=None, threshold=2.5, P=0.2606, R=0.9773, F1=0.4115
2025-05-07 12:01:39,025 - INFO - [omi-6.txt] mode=mean_ratio, all=None, threshold=3.0, P=0.2606, R=0.9773, F1=0.4115
2025-05-07 12:01:39,025 - INFO - [omi-6.txt] mode=mean_ratio, all=None, threshold=3.5, P=0.2606, R=0.9773, F1=0.4115
2025-05-07 12:01:39,039 - INFO - [omi-6.txt] mode=mean_ratio, all=None, threshold=4.0, P=0.2606, R=0.9773, F1=0.4115
2025-05-07 12:01:39,049 - INFO - [omi-6.txt] mode=mean_ratio, all=None, threshold=4.5, P=0.2606, R=0.9773, F1=0.4115
2025-05-07 12:01:39,049 - INFO - [omi-6.txt] mode=mean_ratio, all=None, threshold=5.0, P=0.2606, R=0.9773, F1=0.4115
2025-05-07 12:01:39,049 - INFO - [omi-6.txt] mode=mean_ratio, all=None, threshold=5.5, P=0.2606, R=0.9773, F1=0.4115
2025-05-07 12:01:39,050 - INFO - [omi-6.txt] mode=mean_ratio, all=None, threshold=6.0, P=0.2606, R=0.9773, F1=0.4115
2025-05-07 12:01:39,050 - INFO - [omi-6.txt] mode=mean_ratio, all=None, threshold=6.5, P=0.2606, R=0.9773, F1=0.4115
2025-05-07 12:01:39,063 - INFO - [omi-6.txt] mode=mean_ratio, all=None, threshold=7.0, P=0.2606, R=0.9773, F1=0.4115
2025-05-07 12:01:39,114 - INFO - [omi-7] Starting grid search...
2025-05-07 12:01:42,341 - INFO - [omi-7.txt] mode=mean_ratio, all=None, threshold=0.0, P=0.9048, R=0.9744, F1=0.9383
2025-05-07 12:01:42,390 - INFO - [omi-7.txt] mode=mean_ratio, all=None, threshold=0.5, P=0.9048, R=0.9744, F1=0.9383
2025-05-07 12:01:42,390 - INFO - [omi-7.txt] mode=mean_ratio, all=None, threshold=1.0, P=0.9048, R=0.9744, F1=0.9383
2025-05-07 12:01:42,396 - INFO - [omi-7.txt] mode=mean_ratio, all=None, threshold=1.5, P=0.9048, R=0.9744, F1=0.9383
2025-05-07 12:01:42,397 - INFO - [omi-7.txt] mode=mean_ratio, all=None, threshold=2.0, P=0.9048, R=0.9744, F1=0.9383
2025-05-07 12:01:42,397 - INFO - [omi-7.txt] mode=mean_ratio, all=None, threshold=2.5, P=0.9048, R=0.9744, F1=0.9383
2025-05-07 12:01:42,405 - INFO - [omi-7.txt] mode=mean_ratio, all=None, threshold=3.0, P=0.9048, R=0.9744, F1=0.9383
2025-05-07 12:01:42,406 - INFO - [omi-7.txt] mode=mean_ratio, all=None, threshold=3.5, P=0.9048, R=0.9744, F1=0.9383
2025-05-07 12:01:42,406 - INFO - [omi-7.txt] mode=mean_ratio, all=None, threshold=4.0, P=0.9048, R=0.9744, F1=0.9383
2025-05-07 12:01:42,406 - INFO - [omi-7.txt] mode=mean_ratio, all=None, threshold=4.5, P=0.9048, R=0.9744, F1=0.9383
2025-05-07 12:01:42,409 - INFO - [omi-7.txt] mode=mean_ratio, all=None, threshold=5.0, P=0.9048, R=0.9744, F1=0.9383
2025-05-07 12:01:42,409 - INFO - [omi-7.txt] mode=mean_ratio, all=None, threshold=5.5, P=0.9048, R=0.9744, F1=0.9383
2025-05-07 12:01:42,410 - INFO - [omi-7.txt] mode=mean_ratio, all=None, threshold=6.0, P=0.9048, R=0.9744, F1=0.9383
2025-05-07 12:01:42,410 - INFO - [omi-7.txt] mode=mean_ratio, all=None, threshold=6.5, P=0.9048, R=0.9744, F1=0.9383
2025-05-07 12:01:42,480 - INFO - [omi-7.txt] mode=mean_ratio, all=None, threshold=7.0, P=0.9048, R=0.9744, F1=0.9383
2025-05-07 12:01:42,527 - INFO - [omi-9] Starting grid search...
2025-05-07 12:01:45,907 - INFO - [omi-9.txt] mode=mean_ratio, all=None, threshold=0.0, P=0.4962, R=0.9155, F1=0.6436
2025-05-07 12:01:45,908 - INFO - [omi-9.txt] mode=mean_ratio, all=None, threshold=0.5, P=0.4962, R=0.9155, F1=0.6436
2025-05-07 12:01:45,908 - INFO - [omi-9.txt] mode=mean_ratio, all=None, threshold=1.0, P=0.4962, R=0.9155, F1=0.6436
2025-05-07 12:01:45,909 - INFO - [omi-9.txt] mode=mean_ratio, all=None, threshold=1.5, P=0.4962, R=0.9155, F1=0.6436
2025-05-07 12:01:45,909 - INFO - [omi-9.txt] mode=mean_ratio, all=None, threshold=2.0, P=0.4962, R=0.9155, F1=0.6436
2025-05-07 12:01:45,909 - INFO - [omi-9.txt] mode=mean_ratio, all=None, threshold=2.5, P=0.4962, R=0.9155, F1=0.6436
2025-05-07 12:01:45,909 - INFO - [omi-9.txt] mode=mean_ratio, all=None, threshold=3.0, P=0.4962, R=0.9155, F1=0.6436
2025-05-07 12:01:45,909 - INFO - [omi-9.txt] mode=mean_ratio, all=None, threshold=3.5, P=0.4962, R=0.9155, F1=0.6436
2025-05-07 12:01:45,909 - INFO - [omi-9.txt] mode=mean_ratio, all=None, threshold=4.0, P=0.4962, R=0.9155, F1=0.6436
2025-05-07 12:01:45,909 - INFO - [omi-9.txt] mode=mean_ratio, all=None, threshold=4.5, P=0.4962, R=0.9155, F1=0.6436
2025-05-07 12:01:45,909 - INFO - [omi-9.txt] mode=mean_ratio, all=None, threshold=5.0, P=0.4962, R=0.9155, F1=0.6436
2025-05-07 12:01:45,909 - INFO - [omi-9.txt] mode=mean_ratio, all=None, threshold=5.5, P=0.4962, R=0.9155, F1=0.6436
