2025-04-17 08:22:48,860 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='topk', score_modes=['range_ratio'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_topk', visual_dir='./visual/omi/neighbor_topk', num_workers=36, gif_duration=500)
2025-04-17 08:22:48,860 - INFO - 当前评分模式: ['range_ratio']
2025-04-17 08:22:48,860 - INFO - 
==================================================
2025-04-17 08:22:48,860 - INFO - 开始执行网格搜索...
2025-04-17 08:22:48,861 - INFO - [omi-12] Starting grid search...
2025-04-17 08:22:51,815 - INFO - [omi-12.txt] mode=range_ratio, topk=1, threshold=0.0, P=0.6750, R=0.6750, F1=0.6750
2025-04-17 08:22:51,816 - INFO - [omi-12.txt] mode=range_ratio, topk=1, threshold=0.5, P=0.7105, R=0.6750, F1=0.6923
2025-04-17 08:22:51,895 - INFO - [omi-12.txt] mode=range_ratio, topk=1, threshold=1.0, P=0.7222, R=0.6500, F1=0.6842
2025-04-17 08:22:51,895 - INFO - [omi-12.txt] mode=range_ratio, topk=1, threshold=1.5, P=0.7143, R=0.6250, F1=0.6667
2025-04-17 08:22:53,645 - INFO - [omi-12.txt] mode=range_ratio, topk=1, threshold=2.0, P=0.7097, R=0.5500, F1=0.6197
2025-04-17 08:22:53,992 - INFO - [omi-12.txt] mode=range_ratio, topk=1, threshold=2.5, P=0.6897, R=0.5000, F1=0.5797
2025-04-17 08:22:54,024 - INFO - [omi-12.txt] mode=range_ratio, topk=1, threshold=3.0, P=0.8636, R=0.4750, F1=0.6129
2025-04-17 08:22:54,024 - INFO - [omi-12.txt] mode=range_ratio, topk=1, threshold=3.5, P=0.8571, R=0.4500, F1=0.5902
2025-04-17 08:22:54,024 - INFO - [omi-12.txt] mode=range_ratio, topk=1, threshold=4.0, P=0.8571, R=0.4500, F1=0.5902
2025-04-17 08:22:54,036 - INFO - [omi-12.txt] mode=range_ratio, topk=1, threshold=4.5, P=0.9444, R=0.4250, F1=0.5862
2025-04-17 08:22:54,062 - INFO - [omi-12.txt] mode=range_ratio, topk=1, threshold=5.0, P=0.9444, R=0.4250, F1=0.5862
2025-04-17 08:22:54,062 - INFO - [omi-12.txt] mode=range_ratio, topk=1, threshold=5.5, P=0.9444, R=0.4250, F1=0.5862
2025-04-17 08:22:54,062 - INFO - [omi-12.txt] mode=range_ratio, topk=1, threshold=6.0, P=0.9412, R=0.4000, F1=0.5614
2025-04-17 08:22:54,066 - INFO - [omi-12.txt] mode=range_ratio, topk=1, threshold=6.5, P=0.9412, R=0.4000, F1=0.5614
2025-04-17 08:22:54,095 - INFO - [omi-12.txt] mode=range_ratio, topk=1, threshold=7.0, P=0.9375, R=0.3750, F1=0.5357
2025-04-17 08:22:54,096 - INFO - [omi-12.txt] mode=range_ratio, topk=2, threshold=0.0, P=0.6383, R=0.7500, F1=0.6897
2025-04-17 08:22:54,097 - INFO - [omi-12.txt] mode=range_ratio, topk=2, threshold=0.5, P=0.6818, R=0.7500, F1=0.7143
2025-04-17 08:22:54,097 - INFO - [omi-12.txt] mode=range_ratio, topk=2, threshold=1.0, P=0.6905, R=0.7250, F1=0.7073
2025-04-17 08:22:54,097 - INFO - [omi-12.txt] mode=range_ratio, topk=2, threshold=1.5, P=0.6750, R=0.6750, F1=0.6750
2025-04-17 08:22:54,097 - INFO - [omi-12.txt] mode=range_ratio, topk=2, threshold=2.0, P=0.6842, R=0.6500, F1=0.6667
2025-04-17 08:22:54,097 - INFO - [omi-12.txt] mode=range_ratio, topk=2, threshold=2.5, P=0.6944, R=0.6250, F1=0.6579
2025-04-17 08:22:54,097 - INFO - [omi-12.txt] mode=range_ratio, topk=2, threshold=3.0, P=0.7812, R=0.6250, F1=0.6944
2025-04-17 08:22:54,181 - INFO - [omi-12.txt] mode=range_ratio, topk=2, threshold=3.5, P=0.8065, R=0.6250, F1=0.7042
2025-04-17 08:22:54,182 - INFO - [omi-12.txt] mode=range_ratio, topk=2, threshold=4.0, P=0.8276, R=0.6000, F1=0.6957
2025-04-17 08:22:54,182 - INFO - [omi-12.txt] mode=range_ratio, topk=2, threshold=4.5, P=0.8214, R=0.5750, F1=0.6765
2025-04-17 08:22:54,182 - INFO - [omi-12.txt] mode=range_ratio, topk=2, threshold=5.0, P=0.8214, R=0.5750, F1=0.6765
2025-04-17 08:22:54,191 - INFO - [omi-12.txt] mode=range_ratio, topk=2, threshold=5.5, P=0.8519, R=0.5750, F1=0.6866
2025-04-17 08:22:54,192 - INFO - [omi-12.txt] mode=range_ratio, topk=2, threshold=6.0, P=0.8750, R=0.5250, F1=0.6563
2025-04-17 08:22:54,193 - INFO - [omi-12.txt] mode=range_ratio, topk=2, threshold=6.5, P=0.8696, R=0.5000, F1=0.6349
2025-04-17 08:22:54,212 - INFO - [omi-12.txt] mode=range_ratio, topk=2, threshold=7.0, P=0.8696, R=0.5000, F1=0.6349
2025-04-17 08:22:54,213 - INFO - [omi-12.txt] mode=range_ratio, topk=3, threshold=0.0, P=0.5926, R=0.8000, F1=0.6809
2025-04-17 08:22:54,251 - INFO - [omi-12.txt] mode=range_ratio, topk=3, threshold=0.5, P=0.6400, R=0.8000, F1=0.7111
2025-04-17 08:22:54,251 - INFO - [omi-12.txt] mode=range_ratio, topk=3, threshold=1.0, P=0.6522, R=0.7500, F1=0.6977
2025-04-17 08:22:54,270 - INFO - [omi-12.txt] mode=range_ratio, topk=3, threshold=1.5, P=0.6444, R=0.7250, F1=0.6824
2025-04-17 08:22:54,270 - INFO - [omi-12.txt] mode=range_ratio, topk=3, threshold=2.0, P=0.6744, R=0.7250, F1=0.6988
2025-04-17 08:22:54,270 - INFO - [omi-12.txt] mode=range_ratio, topk=3, threshold=2.5, P=0.7073, R=0.7250, F1=0.7160
2025-04-17 08:22:54,270 - INFO - [omi-12.txt] mode=range_ratio, topk=3, threshold=3.0, P=0.7368, R=0.7000, F1=0.7179
2025-04-17 08:22:54,270 - INFO - [omi-12.txt] mode=range_ratio, topk=3, threshold=3.5, P=0.7297, R=0.6750, F1=0.7013
