2025-04-17 17:42:03,944 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='els', window_size=5, score_thresholds=array([0. , 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1. , 1.1, 1.2,
       1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2. , 2.1, 2.2, 2.3, 2.4, 2.5,
       2.6, 2.7, 2.8, 2.9, 3. , 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8,
       3.9, 4. , 4.1, 4.2, 4.3, 4.4, 4.5, 4.6, 4.7, 4.8, 4.9, 5. , 5.1,
       5.2, 5.3, 5.4, 5.5, 5.6, 5.7, 5.8, 5.9, 6. , 6.1, 6.2, 6.3, 6.4,
       6.5, 6.6, 6.7, 6.8, 6.9, 7. ]), topk_range=range(0, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='topk', score_modes=['deviation'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/els/neighbor_topk', visual_dir='./visual/els/neighbor_topk', num_workers=36, gif_duration=500)
2025-04-17 17:42:03,944 - INFO - 当前评分模式: ['deviation']
2025-04-17 17:42:03,944 - INFO - 
==================================================
2025-04-17 17:42:03,945 - INFO - 开始执行网格搜索...
2025-04-17 17:42:03,948 - INFO - [els-1] Starting grid search...
2025-04-17 17:42:05,003 - INFO - [els-1.txt] mode=deviation, topk=0, threshold=3.5, P=0.2752, R=0.3445, F1=0.3060
2025-04-17 17:42:05,174 - INFO - [els-1.txt] mode=deviation, topk=0, threshold=3.6, P=0.2746, R=0.3403, F1=0.3039
2025-04-17 17:42:05,175 - INFO - [els-1.txt] mode=deviation, topk=0, threshold=3.7, P=0.2715, R=0.3319, F1=0.2987
2025-04-17 17:42:05,175 - INFO - [els-1.txt] mode=deviation, topk=0, threshold=3.8, P=0.2734, R=0.3319, F1=0.2998
2025-04-17 17:42:05,175 - INFO - [els-1.txt] mode=deviation, topk=0, threshold=3.9, P=0.2734, R=0.3319, F1=0.2998
2025-04-17 17:42:05,175 - INFO - [els-1.txt] mode=deviation, topk=0, threshold=4.0, P=0.2740, R=0.3235, F1=0.2967
2025-04-17 17:42:05,175 - INFO - [els-1.txt] mode=deviation, topk=0, threshold=4.1, P=0.2760, R=0.3235, F1=0.2979
2025-04-17 17:42:05,176 - INFO - [els-1.txt] mode=deviation, topk=0, threshold=4.2, P=0.2760, R=0.3235, F1=0.2979
2025-04-17 17:42:05,176 - INFO - [els-1.txt] mode=deviation, topk=0, threshold=4.3, P=0.2760, R=0.3235, F1=0.2979
2025-04-17 17:42:05,176 - INFO - [els-1.txt] mode=deviation, topk=0, threshold=4.4, P=0.2770, R=0.3235, F1=0.2984
2025-04-17 17:42:05,258 - INFO - [els-1.txt] mode=deviation, topk=0, threshold=4.5, P=0.2770, R=0.3235, F1=0.2984
2025-04-17 17:42:05,259 - INFO - [els-1.txt] mode=deviation, topk=0, threshold=4.6, P=0.2770, R=0.3235, F1=0.2984
2025-04-17 17:42:05,259 - INFO - [els-1.txt] mode=deviation, topk=0, threshold=4.7, P=0.2764, R=0.3193, F1=0.2963
2025-04-17 17:42:05,259 - INFO - [els-1.txt] mode=deviation, topk=0, threshold=4.8, P=0.2747, R=0.3151, F1=0.2935
2025-04-17 17:42:05,259 - INFO - [els-1.txt] mode=deviation, topk=0, threshold=4.9, P=0.2704, R=0.3067, F1=0.2874
2025-04-17 17:42:05,283 - INFO - [els-1.txt] mode=deviation, topk=0, threshold=5.0, P=0.2704, R=0.3067, F1=0.2874
2025-04-17 17:42:05,284 - INFO - [els-1.txt] mode=deviation, topk=0, threshold=5.1, P=0.2724, R=0.3067, F1=0.2885
2025-04-17 17:42:05,284 - INFO - [els-1.txt] mode=deviation, topk=0, threshold=5.2, P=0.2734, R=0.3067, F1=0.2891
2025-04-17 17:42:05,285 - INFO - [els-1.txt] mode=deviation, topk=0, threshold=5.3, P=0.2734, R=0.3067, F1=0.2891
2025-04-17 17:42:05,356 - INFO - [els-1.txt] mode=deviation, topk=0, threshold=5.4, P=0.2744, R=0.3067, F1=0.2897
2025-04-17 17:42:05,356 - INFO - [els-1.txt] mode=deviation, topk=0, threshold=5.5, P=0.2755, R=0.3067, F1=0.2903
2025-04-17 17:42:05,356 - INFO - [els-1.txt] mode=deviation, topk=0, threshold=5.6, P=0.2755, R=0.3067, F1=0.2903
2025-04-17 17:42:05,356 - INFO - [els-1.txt] mode=deviation, topk=0, threshold=5.7, P=0.2755, R=0.3067, F1=0.2903
2025-04-17 17:42:05,381 - INFO - [els-1.txt] mode=deviation, topk=0, threshold=5.8, P=0.2765, R=0.3067, F1=0.2908
2025-04-17 17:42:05,439 - INFO - [els-1.txt] mode=deviation, topk=0, threshold=5.9, P=0.2720, R=0.2983, F1=0.2846
2025-04-17 17:42:05,439 - INFO - [els-1.txt] mode=deviation, topk=0, threshold=6.0, P=0.2720, R=0.2983, F1=0.2846
2025-04-17 17:42:05,440 - INFO - [els-1.txt] mode=deviation, topk=0, threshold=6.1, P=0.2703, R=0.2941, F1=0.2817
2025-04-17 17:42:05,440 - INFO - [els-1.txt] mode=deviation, topk=0, threshold=6.2, P=0.2713, R=0.2941, F1=0.2823
2025-04-17 17:42:05,440 - INFO - [els-1.txt] mode=deviation, topk=0, threshold=6.3, P=0.2713, R=0.2941, F1=0.2823
2025-04-17 17:42:05,440 - INFO - [els-1.txt] mode=deviation, topk=0, threshold=6.4, P=0.2713, R=0.2941, F1=0.2823
