2025-04-17 17:45:58,157 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='els', window_size=5, score_thresholds=array([0. , 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1. , 1.1, 1.2,
       1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2. , 2.1, 2.2, 2.3, 2.4, 2.5,
       2.6, 2.7, 2.8, 2.9, 3. , 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8,
       3.9, 4. , 4.1, 4.2, 4.3, 4.4, 4.5, 4.6, 4.7, 4.8, 4.9, 5. , 5.1,
       5.2, 5.3, 5.4, 5.5, 5.6, 5.7, 5.8, 5.9, 6. , 6.1, 6.2, 6.3, 6.4,
       6.5, 6.6, 6.7, 6.8, 6.9, 7. ]), topk_range=range(0, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='topk', score_modes=['robust_zscore'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/els/neighbor_topk', visual_dir='./visual/els/neighbor_topk', num_workers=36, gif_duration=500)
2025-04-17 17:45:58,157 - INFO - 当前评分模式: ['robust_zscore']
2025-04-17 17:45:58,157 - INFO - 
==================================================
2025-04-17 17:45:58,157 - INFO - 开始执行网格搜索...
2025-04-17 17:45:58,162 - INFO - [els-1] Starting grid search...
2025-04-17 17:45:59,529 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=4.5, P=0.3300, R=0.1387, F1=0.1953
2025-04-17 17:45:59,529 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=4.6, P=0.3300, R=0.1387, F1=0.1953
2025-04-17 17:45:59,543 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=4.7, P=0.3265, R=0.1345, F1=0.1905
2025-04-17 17:45:59,543 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=4.8, P=0.3368, R=0.1345, F1=0.1922
2025-04-17 17:45:59,543 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=4.9, P=0.3370, R=0.1303, F1=0.1879
2025-04-17 17:45:59,545 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=5.0, P=0.3407, R=0.1303, F1=0.1884
2025-04-17 17:45:59,545 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=5.1, P=0.3483, R=0.1303, F1=0.1896
2025-04-17 17:45:59,545 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=5.2, P=0.3523, R=0.1303, F1=0.1902
2025-04-17 17:45:59,605 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=5.3, P=0.3412, R=0.1218, F1=0.1796
2025-04-17 17:45:59,607 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=5.4, P=0.3373, R=0.1176, F1=0.1745
2025-04-17 17:45:59,607 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=5.5, P=0.3373, R=0.1176, F1=0.1745
2025-04-17 17:45:59,607 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=5.6, P=0.3373, R=0.1176, F1=0.1745
2025-04-17 17:45:59,607 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=5.7, P=0.3373, R=0.1176, F1=0.1745
2025-04-17 17:45:59,732 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=5.8, P=0.3373, R=0.1176, F1=0.1745
2025-04-17 17:45:59,732 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=5.9, P=0.3373, R=0.1176, F1=0.1745
2025-04-17 17:45:59,779 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=6.0, P=0.3373, R=0.1176, F1=0.1745
2025-04-17 17:45:59,779 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=6.1, P=0.3415, R=0.1176, F1=0.1750
2025-04-17 17:45:59,779 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=6.2, P=0.3457, R=0.1176, F1=0.1755
2025-04-17 17:45:59,799 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=6.3, P=0.3500, R=0.1176, F1=0.1761
2025-04-17 17:45:59,803 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=6.4, P=0.3418, R=0.1134, F1=0.1703
2025-04-17 17:45:59,804 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=6.5, P=0.3553, R=0.1134, F1=0.1720
2025-04-17 17:45:59,804 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=6.6, P=0.3600, R=0.1134, F1=0.1725
2025-04-17 17:45:59,804 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=6.7, P=0.3600, R=0.1134, F1=0.1725
2025-04-17 17:45:59,804 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=6.8, P=0.3600, R=0.1134, F1=0.1725
2025-04-17 17:45:59,804 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=6.9, P=0.3562, R=0.1092, F1=0.1672
2025-04-17 17:45:59,871 - INFO - [els-1.txt] mode=robust_zscore, topk=0, threshold=7.0, P=0.3472, R=0.1050, F1=0.1613
2025-04-17 17:45:59,900 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=0.0, P=0.3050, R=0.3319, F1=0.3179
2025-04-17 17:45:59,900 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=0.1, P=0.3050, R=0.3319, F1=0.3179
2025-04-17 17:45:59,900 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=0.2, P=0.3050, R=0.3319, F1=0.3179
2025-04-17 17:45:59,900 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=0.3, P=0.3050, R=0.3319, F1=0.3179
2025-04-17 17:45:59,900 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=0.4, P=0.3050, R=0.3319, F1=0.3179
2025-04-17 17:45:59,900 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=0.5, P=0.3050, R=0.3319, F1=0.3179
2025-04-17 17:45:59,900 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=0.6, P=0.3050, R=0.3319, F1=0.3179
2025-04-17 17:45:59,945 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=0.7, P=0.3050, R=0.3319, F1=0.3179
2025-04-17 17:45:59,945 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=0.8, P=0.3050, R=0.3319, F1=0.3179
2025-04-17 17:45:59,948 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=0.9, P=0.3050, R=0.3319, F1=0.3179
2025-04-17 17:45:59,948 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=1.0, P=0.3050, R=0.3319, F1=0.3179
2025-04-17 17:45:59,949 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=1.1, P=0.2948, R=0.3109, F1=0.3027
2025-04-17 17:45:59,949 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=1.2, P=0.2960, R=0.3109, F1=0.3033
2025-04-17 17:45:59,949 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=1.3, P=0.2972, R=0.3109, F1=0.3039
2025-04-17 17:45:59,949 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=1.4, P=0.2972, R=0.3109, F1=0.3039
2025-04-17 17:45:59,949 - INFO - [els-1.txt] mode=robust_zscore, topk=1, threshold=1.5, P=0.2972, R=0.3109, F1=0.3039
