2025-05-07 18:10:19,279 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='machine', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='topk', score_modes=['robust_zscore'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/machine/neighbor_topk', visual_dir='./visual/machine/neighbor_topk', num_workers=36, gif_duration=500)
2025-05-07 18:10:19,280 - INFO - 当前评分模式: ['robust_zscore']
2025-05-07 18:10:19,280 - INFO - 
==================================================
2025-05-07 18:10:19,280 - INFO - 开始执行网格搜索...
2025-05-07 18:10:19,285 - INFO - [machine-1-1] Starting grid search...
2025-05-07 18:15:32,098 - INFO - [machine-1-1.txt] mode=robust_zscore, topk=7, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 18:15:37,569 - INFO - [machine-1-1.txt] mode=robust_zscore, topk=8, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 18:15:37,570 - INFO - [machine-1-1.txt] mode=robust_zscore, topk=8, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 18:15:37,570 - INFO - [machine-1-1.txt] mode=robust_zscore, topk=8, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 18:15:44,495 - INFO - [machine-1-1.txt] mode=robust_zscore, topk=8, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 18:15:44,496 - INFO - [machine-1-1.txt] mode=robust_zscore, topk=8, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 18:15:54,937 - INFO - [machine-1-1.txt] mode=robust_zscore, topk=8, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 18:16:07,082 - INFO - [machine-1-1.txt] mode=robust_zscore, topk=8, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 18:16:09,283 - INFO - [machine-1-1.txt] mode=robust_zscore, topk=8, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 18:16:09,283 - INFO - [machine-1-1.txt] mode=robust_zscore, topk=8, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 18:16:11,991 - INFO - [machine-1-1.txt] mode=robust_zscore, topk=8, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 18:16:11,991 - INFO - [machine-1-1.txt] mode=robust_zscore, topk=8, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 18:16:11,991 - INFO - [machine-1-1.txt] mode=robust_zscore, topk=8, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 18:16:11,991 - INFO - [machine-1-1.txt] mode=robust_zscore, topk=8, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 18:16:14,217 - INFO - [machine-1-1.txt] mode=robust_zscore, topk=8, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 18:16:18,372 - INFO - [machine-1-1.txt] mode=robust_zscore, topk=8, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 18:16:18,372 - INFO - [machine-1-1.txt] mode=robust_zscore, topk=9, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 18:16:21,335 - INFO - [machine-1-1.txt] mode=robust_zscore, topk=9, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 18:16:21,336 - INFO - [machine-1-1.txt] mode=robust_zscore, topk=9, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 18:16:21,336 - INFO - [machine-1-1.txt] mode=robust_zscore, topk=9, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 18:16:21,336 - INFO - [machine-1-1.txt] mode=robust_zscore, topk=9, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 18:16:21,336 - INFO - [machine-1-1.txt] mode=robust_zscore, topk=9, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 18:16:21,336 - INFO - [machine-1-1.txt] mode=robust_zscore, topk=9, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 18:16:22,363 - INFO - [machine-1-1.txt] mode=robust_zscore, topk=9, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 18:16:22,364 - INFO - [machine-1-1.txt] mode=robust_zscore, topk=9, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 18:16:22,364 - INFO - [machine-1-1.txt] mode=robust_zscore, topk=9, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 18:16:22,364 - INFO - [machine-1-1.txt] mode=robust_zscore, topk=9, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 18:16:22,364 - INFO - [machine-1-1.txt] mode=robust_zscore, topk=9, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 18:16:22,364 - INFO - [machine-1-1.txt] mode=robust_zscore, topk=9, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 18:16:22,364 - INFO - [machine-1-1.txt] mode=robust_zscore, topk=9, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 18:16:37,050 - INFO - [machine-1-1.txt] mode=robust_zscore, topk=9, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 18:16:37,249 - INFO - [machine-1-7] Starting grid search...
2025-05-07 18:17:53,534 - INFO - [machine-1-7.txt] mode=robust_zscore, topk=1, threshold=0.0, P=0.4393, R=0.9462, F1=0.6000
2025-05-07 18:18:01,377 - INFO - [machine-1-7.txt] mode=robust_zscore, topk=1, threshold=0.5, P=0.4393, R=0.9462, F1=0.6000
2025-05-07 18:18:01,377 - INFO - [machine-1-7.txt] mode=robust_zscore, topk=1, threshold=1.0, P=0.4393, R=0.9462, F1=0.6000
2025-05-07 18:18:09,110 - INFO - [machine-1-7.txt] mode=robust_zscore, topk=1, threshold=1.5, P=0.4505, R=0.9462, F1=0.6104
2025-05-07 18:18:09,111 - INFO - [machine-1-7.txt] mode=robust_zscore, topk=1, threshold=2.0, P=0.4502, R=0.9385, F1=0.6085
