2025-04-15 23:33:02,581 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. , 6.5, 7. ]), topk_range=range(1, 10), score_modes=['mean_ratio'], use_topk=False, data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/use_topkFalse', visual_dir='./visual/use_topkFalse', num_workers=4, gif_duration=500)
2025-04-15 23:33:02,582 - INFO - pearson correlation 取绝对值
2025-04-15 23:33:02,582 - INFO - 当前评分模式: ['mean_ratio']
2025-04-15 23:33:02,582 - INFO - 
==================================================
2025-04-15 23:33:02,582 - INFO - 开始执行网格搜索...
2025-04-15 23:33:02,588 - INFO - [omi-1] Starting grid search...
2025-04-15 23:33:27,811 - INFO - [omi-11.txt] mode=mean_ratio, top_k=None, threshold=4.5, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 23:33:29,835 - INFO - [omi-11.txt] mode=mean_ratio, top_k=None, threshold=5.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 23:33:29,839 - INFO - [omi-11.txt] mode=mean_ratio, top_k=None, threshold=5.5, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 23:33:29,943 - INFO - [omi-11.txt] mode=mean_ratio, top_k=None, threshold=6.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 23:33:29,943 - INFO - [omi-11.txt] mode=mean_ratio, top_k=None, threshold=6.5, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 23:33:31,865 - INFO - [omi-11.txt] mode=mean_ratio, top_k=None, threshold=7.0, use_topk=False, P=0.3434, R=0.9828, F1=0.5089
2025-04-15 23:33:31,881 - INFO - [omi-12] Starting grid search...
2025-04-15 23:33:34,613 - INFO - [omi-12.txt] mode=mean_ratio, top_k=None, threshold=1.0, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 23:33:34,614 - INFO - [omi-12.txt] mode=mean_ratio, top_k=None, threshold=1.5, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 23:33:34,636 - INFO - [omi-12.txt] mode=mean_ratio, top_k=None, threshold=2.0, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 23:33:34,728 - INFO - [omi-12.txt] mode=mean_ratio, top_k=None, threshold=2.5, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 23:33:36,217 - INFO - [omi-12.txt] mode=mean_ratio, top_k=None, threshold=3.0, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 23:33:36,278 - INFO - [omi-12.txt] mode=mean_ratio, top_k=None, threshold=3.5, use_topk=False, P=0.6129, R=0.9500, F1=0.7451
2025-04-15 23:33:36,279 - INFO - [omi-12.txt] mode=mean_ratio, top_k=None, threshold=4.0, use_topk=False, P=0.6230, R=0.9500, F1=0.7525
2025-04-15 23:33:36,430 - INFO - [omi-12.txt] mode=mean_ratio, top_k=None, threshold=4.5, use_topk=False, P=0.6230, R=0.9500, F1=0.7525
2025-04-15 23:33:37,888 - INFO - [omi-12.txt] mode=mean_ratio, top_k=None, threshold=5.0, use_topk=False, P=0.6230, R=0.9500, F1=0.7525
2025-04-15 23:33:37,888 - INFO - [omi-12.txt] mode=mean_ratio, top_k=None, threshold=5.5, use_topk=False, P=0.6230, R=0.9500, F1=0.7525
2025-04-15 23:33:37,961 - INFO - [omi-12.txt] mode=mean_ratio, top_k=None, threshold=6.0, use_topk=False, P=0.6552, R=0.9500, F1=0.7755
2025-04-15 23:33:38,031 - INFO - [omi-12.txt] mode=mean_ratio, top_k=None, threshold=6.5, use_topk=False, P=0.6552, R=0.9500, F1=0.7755
2025-04-15 23:33:39,311 - INFO - [omi-12.txt] mode=mean_ratio, top_k=None, threshold=7.0, use_topk=False, P=0.6552, R=0.9500, F1=0.7755
2025-04-15 23:33:39,328 - INFO - [omi-2] Starting grid search...
2025-04-15 23:33:42,422 - INFO - [omi-2.txt] mode=mean_ratio, top_k=None, threshold=1.0, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:33:42,494 - INFO - [omi-2.txt] mode=mean_ratio, top_k=None, threshold=1.5, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:33:42,495 - INFO - [omi-2.txt] mode=mean_ratio, top_k=None, threshold=2.0, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:33:42,552 - INFO - [omi-2.txt] mode=mean_ratio, top_k=None, threshold=2.5, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:33:44,460 - INFO - [omi-2.txt] mode=mean_ratio, top_k=None, threshold=3.0, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:33:44,538 - INFO - [omi-2.txt] mode=mean_ratio, top_k=None, threshold=3.5, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:33:44,545 - INFO - [omi-2.txt] mode=mean_ratio, top_k=None, threshold=4.0, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:33:44,624 - INFO - [omi-2.txt] mode=mean_ratio, top_k=None, threshold=4.5, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
2025-04-15 23:33:46,586 - INFO - [omi-2.txt] mode=mean_ratio, top_k=None, threshold=5.0, use_topk=False, P=0.4559, R=1.0000, F1=0.6263
